Site,Tree,mom,Treatment,Family_Wt,Days_to_germ,Diameter,Height,larg_leaf_length,larg_leaf_width,larg_leaf_thick,Ave_Thick_1,Ave_Thick_2,avg_ave_thick,TLP_TO_CONVERT_1,TLP_TO_CONVERT_2,Osmometer_mpa_1,Osmometer_mpa_2,TLP_mpa_1,TLP_mpa_2,TLP_avg,AREA_mm_1,AREA_mm_2,area_avg,dry_mass_g_1,dry_mass_g_2,dry_mass_avg,soil_mass_1,soil_mass_2,soil_mass_avg,soil_water_potential_1,soil_water_potential_2,soil_WP_avg,leaf_water_potential_1,leaf_water_potential_2,leaf_WP_avg,Latitude,Longitude,Elevation(m)
CENT,063-04,63,c0,120.9,61,2.83,250,70,30,0.17,0.09,,0.09,669,732,-1.6725,-1.83,-2.0225,-2.1536,-2.0881,22154,,22154,0.0229,,0.0229,367.9,367.9,367.9,-0.981,,-0.981,-1.27,,-1.27,36.7252,-119.4591,122
CENT,063-09,63,d10,120.9,61,2.16,210,50,30,0.14,0.06,,0.06,781,755,-1.9525,-1.8875,-2.2555,-2.2014,-2.2285,31848,,31848,0.0544,,0.0544,202.8,202.8,202.8,-0.73,,-0.73,-1.14,,-1.14,36.7252,-119.4591,122
CENT,063-11,63,d10,120.9,61,2.47,205,65,35,0.11,0.09,,0.09,976,1009,-2.44,-2.5225,-2.6611,-2.7297,-2.6954,52080,,52080,0.056,,0.056,175,175,175,-1.32,,-1.32,-1.566,,-1.566,36.7252,-119.4591,122
CENT,063-13,63,d10,120.9,61,2.54,165,60,30,0.16,0.1,,0.1,805,821,-2.0125,-2.0525,-2.3054,-2.3387,-2.3221,45742,,45742,0.0832,,0.0832,,,,-1.72,,-1.72,-0.91,,-0.91,36.7252,-119.4591,122
CENT,064-05,64,d20,112.1,69,2.61,205,80,50,0.16,0.05,0.07,0.06,,,,,,,,76967,38987,57977,0.18,0.09,0.135,134.8,134.8,134.8,-2.1,,-2.1,-4.07,,-4.07,36.74602,-119.47566,129
CENT,064-13,64,c10,112.1,89,2.05,210,55,30,0.12,0.08,0.09,0.09,727,754,-1.8175,-1.885,-2.1432,-2.1993,-2.1713,23158,16779,19968,0.05,0.04,0.045,315.6,315.6,315.6,-0.37,-0.46,-0.415,-1.07,-1.42,-1.245,36.74602,-119.47566,129
CENT,064-16,64,c10,112.1,138,2.13,190,60,35,0.12,0.11,0.09,0.1,941,1197,-2.3525,-2.9925,-2.5883,-3.1208,-2.8546,71250,29023,50137,0.18,0.07,0.125,321.2,321.2,321.2,-0.4,-0.37,-0.385,-1.13,-1.47,-1.3,36.74602,-119.47566,129
CENT,065-13,65,c0,73.5,124,2.61,215,80,50,0.16,0.06,,0.06,824,0,-2.06,,-2.3449,-0.631,-1.488,31447,,31447,0.0454,,0.0454,372.3,372.3,372.3,-0.63,,-0.63,-0.75,,-0.75,36.74577,-119.47493,127
CENT,066-13,66,c10,152,69,2.12,200,55,30,0.13,0.09,0.08,0.09,741,894,-1.8525,-2.235,-2.1723,-2.4905,-2.3314,22319,18041,20180,0.05,0.03,0.04,362.2,362.2,362.2,-0.27,,-0.27,-1.07,,-1.07,36.74719,-119.47302,125
CENT,068-11,68,c0,112.7,75,2.17,75,45,25,0.17,0.08,0.14,0.11,605,754,-1.5125,-1.885,-1.8894,-2.1993,-2.0444,56646,15199,35923,0.119,0.0557,0.08735,362.1,362.1,362.1,-1.57,,-1.57,-0.808,,-0.808,36.74918,-119.47121,127
CENT,068-12,68,c0,112.7,75,1.63,70,40,30,0.16,0.08,0.09,0.09,705,647,-1.7625,-1.6175,-2.0974,-1.9768,-2.0371,36447,34460,35454,0.0684,0.0621,0.06525,379.1,379.1,379.1,-0.43,,-0.43,-0.95,,-0.95,36.74918,-119.47121,127
CENT,069-14,69,c10,165,75,3.07,280,55,30,0.17,0.11,0.11,0.11,956,979,-2.39,-2.4475,-2.6195,-2.6673,-2.6434,24697,13601,19149,,,,198,198,198,-0.88,-1.13,-1.005,-2.27,-2.26,-2.265,36.75334,-119.46474,129
