Site,Tree,mom,Treatment,Family_Wt,Days_to_germ,Diameter,Height,larg_leaf_length,larg_leaf_width,larg_leaf_thick,Ave_Thick_1,Ave_Thick_2,avg_ave_thick,TLP_TO_CONVERT_1,TLP_TO_CONVERT_2,Osmometer_mpa_1,Osmometer_mpa_2,TLP_mpa_1,TLP_mpa_2,TLP_avg,AREA_mm_1,AREA_mm_2,area_avg,dry_mass_g_1,dry_mass_g_2,dry_mass_avg,soil_mass_1,soil_mass_2,soil_mass_avg,soil_water_potential_1,soil_water_potential_2,soil_WP_avg,leaf_water_potential_1,leaf_water_potential_2,leaf_WP_avg,Latitude,Longitude,Elevation(m),WP_avg_leaf_soil_diff
CV,063-04,63,control1,120.9,61,2.83,250,70,30,0.17,0.09,NA,0.09,669,732,-1.6725,-1.83,-2.0225,-2.1536,-2.0881,22154,NA,22154,0.0229,NA,0.0229,367.9,367.9,367.9,-0.981,NA,-0.981,-1.27,NA,-1.27,36.7252,-119.4591,122,-0.289
CV,063-09,63,drought1,120.9,61,2.16,210,50,30,0.14,0.06,NA,0.06,781,755,-1.9525,-1.8875,-2.2555,-2.2014,-2.2285,31848,NA,31848,0.0544,NA,0.0544,202.8,202.8,202.8,-0.73,NA,-0.73,-1.14,NA,-1.14,36.7252,-119.4591,122,-0.41
CV,063-11,63,drought1,120.9,61,2.47,205,65,35,0.11,0.09,NA,0.09,976,1009,-2.44,-2.5225,-2.6611,-2.7297,-2.6954,52080,NA,52080,0.056,NA,0.056,175,175,175,-1.32,NA,-1.32,-1.566,NA,-1.566,36.7252,-119.4591,122,-0.246
CV,063-13,63,drought1,120.9,61,2.54,165,60,30,0.16,0.1,NA,0.1,805,821,-2.0125,-2.0525,-2.3054,-2.3387,-2.3221,45742,NA,45742,0.0832,NA,0.0832,NA,NA,NA,-1.72,NA,-1.72,-0.91,NA,-0.91,36.7252,-119.4591,122,0.81
CV,064-05,64,drought2,112.1,69,2.61,205,80,50,0.16,0.05,0.07,0.06,NA,NA,NA,NA,NA,NA,NA,76967,38987,57977,0.18,0.09,0.135,134.8,134.8,134.8,-2.1,NA,-2.1,-4.07,NA,-4.07,36.74602,-119.47566,129,-1.97
CV,064-13,64,control2,112.1,89,2.05,210,55,30,0.12,0.08,0.09,0.09,727,754,-1.8175,-1.885,-2.1432,-2.1993,-2.1713,23158,16779,19968,0.05,0.04,0.045,315.6,315.6,315.6,-0.37,-0.46,-0.415,-1.07,-1.42,-1.245,36.74602,-119.47566,129,-0.83
CV,064-16,64,control2,112.1,138,2.13,190,60,35,0.12,0.11,0.09,0.1,941,1197,-2.3525,-2.9925,-2.5883,-3.1208,-2.8546,71250,29023,50137,0.18,0.07,0.125,321.2,321.2,321.2,-0.4,-0.37,-0.385,-1.13,-1.47,-1.3,36.74602,-119.47566,129,-0.915
CV,065-13,65,control1,73.5,124,2.61,215,80,50,0.16,0.06,NA,0.06,824,0,-2.06,NA,-2.3449,NA,-2.3449,31447,NA,31447,0.0454,NA,0.0454,372.3,372.3,372.3,-0.63,NA,-0.63,-0.75,NA,-0.75,36.74577,-119.47493,127,-0.12
CV,066-13,66,control2,152,69,2.12,200,55,30,0.13,0.09,0.08,0.09,741,894,-1.8525,-2.235,-2.1723,-2.4905,-2.3314,22319,18041,20180,0.05,0.03,0.04,362.2,362.2,362.2,-0.27,NA,-0.27,-1.07,NA,-1.07,36.74719,-119.47302,125,-0.8
CV,068-11,68,control1,112.7,75,2.17,75,45,25,0.17,0.08,0.14,0.11,605,754,-1.5125,-1.885,-1.8894,-2.1993,-2.0444,56646,15199,35923,0.119,0.0557,0.08735,362.1,362.1,362.1,-1.57,NA,-1.57,-0.808,NA,-0.808,36.74918,-119.47121,127,0.762
CV,068-12,68,control1,112.7,75,1.63,70,40,30,0.16,0.08,0.09,0.09,705,647,-1.7625,-1.6175,-2.0974,-1.9768,-2.0371,36447,34460,35454,0.0684,0.0621,0.06525,379.1,379.1,379.1,-0.43,NA,-0.43,-0.95,NA,-0.95,36.74918,-119.47121,127,-0.52
CV,069-14,69,control2,165,75,3.07,280,55,30,0.17,0.11,0.11,0.11,956,979,-2.39,-2.4475,-2.6195,-2.6673,-2.6434,24697,13601,19149,NA,NA,NA,198,198,198,-0.88,-1.13,-1.005,-2.27,-2.26,-2.265,36.75334,-119.46474,129,-1.26
CV,069-15,69,drought1,165,75,2.83,150,75,50,0.17,0.1,0.09,0.09,937,957,-2.3425,-2.3925,-2.58,-2.6216,-2.6008,33379,35112,34246,0.0799,0.0734,0.07665,NA,NA,NA,-0.96,-1.5,-1.23,-1.826,-2.7,-2.263,36.75334,-119.46474,129,-1.033
CV,070-03,70,drought2,129.3,117,1.11,85,45,25,0.13,0.05,0.06,0.06,NA,NA,NA,NA,NA,NA,NA,39308,17289,28298,0.1,0.04,0.07,154.7,154.7,154.7,-3.43,NA,-3.43,-2.59,NA,-2.59,36.75656,-119.46008,130,0.84
CV,070-06,70,drought2,129.3,49,1.84,155,50,30,0.1,0.08,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,60249,NA,60249,0.15,NA,0.15,144.7,144.7,144.7,-1.9,-2.73,-2.315,NA,-3.5,-3.5,36.75656,-119.46008,130,-1.185
FH,206-07,206,control1,106.9,82,1.93,80,50,35,0.17,0.12,0.12,0.12,655,786,-1.6375,-1.965,-1.9934,-2.2659,-2.1297,60688,54201,57445,0.164,0.1468,0.1554,360.5,360.5,360.5,-0.82,NA,-0.82,-0.99,NA,-0.99,35.9796,-121.23371,293.1,-0.17
FH,206-08,206,control1,106.9,82,2.1,115,60,30,0.17,0.11,0.12,0.12,786,768,-1.965,-1.92,-2.2659,-2.2284,-2.2472,60971,40350,50661,0.12,0.093,0.1065,348.1,348.1,348.1,-0.69,-0.79,-0.74,-1.107,-0.855,-0.981,35.9796,-121.23371,293.1,-0.241
FH,208-01,208,drought1,137.4,103,2.69,110,60,30,0.16,0.14,0.13,0.13,832,784,-2.08,-1.96,-2.3616,-2.2617,-2.3117,51396,45973,48685,0.127,0.101,0.114,170.4,170.4,170.4,-1.71,NA,-1.71,-1.79,NA,-1.79,35.97922,-121.23337,298.4,-0.0800000000000001
FH,208-02,208,drought1,137.4,103,2.44,100,60,30,0.16,0.1,0.1,0.1,806,832,-2.015,-2.08,-2.3075,-2.3616,-2.3346,37161,23462,30312,0.0792,0.0483,0.06375,251.1,251.1,251.1,-0.48,NA,-0.48,-0.967,NA,-0.967,35.97922,-121.23337,298.4,-0.487
FH,209-03,209,control2,94,54,2.28,135,55,40,0.19,0.08,0.07,0.08,846,796,-2.115,-1.99,-2.3907,-2.2867,-2.3387,36669,24806,30737,0.08,0.05,0.065,300.5,300.5,300.5,-0.47,-0.19,-0.33,-1.22,-1.23,-1.225,35.97922,-121.23337,298.4,-0.895
FH,209-07,209,control2,94,61,1.88,85,60,40,0.16,0.11,0.11,0.11,936,860,-2.34,-2.15,-2.5779,-2.4198,-2.4989,25187,NA,25187,0.06,0.08,0.07,267,267,267,-0.63,-0.49,-0.56,-1.46,-1.27,-1.365,35.98026,-121.23441,300.5,-0.805
FH,209-10,209,drought2,94,69,2.42,145,45,30,0.16,0.08,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,30577,NA,30577,NA,NA,NA,143,143,143,NA,NA,NA,-2.3,NA,-2.3,35.98026,-121.23441,300.5,NA
